dimension,variant,n_cohorts,gross_annual_return,net_annual_return,benchmark_annual_return,gross_sharpe,net_sharpe,net_max_drawdown,information_ratio,net_information_ratio,hit_rate_active,mean_cost,mean_turnover,capacity_median
size,low,37.0,0.3867839948603182,0.17895550199584398,0.3153276300077721,1.2267422820698486,0.6801495824156368,-0.28729932594402574,0.6206217448651228,-0.9025210781761779,0.7567567567567568,0.013595859485876946,2.0,49538403.09
size,mid,37.0,0.2856895940659274,0.1250174702646465,0.1435705475630753,0.982824911614778,0.5304707040143738,-0.23592770685220577,1.496326362886293,-0.06538657780579622,0.6756756756756757,0.011157000834051902,2.0,105803480.28750001
size,high,37.0,0.08619809950780533,-0.007423324225680705,0.008364469395548912,0.47249911039167,0.07608966825733186,-0.30875176820084127,1.0441006759878835,-0.2392704802943086,0.6216216216216216,0.007438996703434241,2.0,287663851.209
year,2020,5.0,-0.0579881354710553,-0.13313618517078363,-0.10025979872841839,-0.2236230871611525,-0.6524955222994919,-0.1316689337541982,1.1224908930198445,-1.0753716705309,0.6,0.00688835030302806,2.0,249429013.7735
year,2021,9.0,0.6568669260752611,0.5084029496665843,0.5663965203981114,3.3959949745721656,2.7089957213680522,-0.015532558786174988,1.332300201968619,-0.7910233735861586,0.5555555555555556,0.00808609130229971,2.0,202575930.55700004
year,2022,9.0,0.0842857528495462,-0.0194560876901414,-0.0869693446506945,0.3875853199777183,0.0978808849273215,-0.1562144201446095,2.724061773101656,1.1220640755049447,0.7777777777777778,0.008227769585862348,2.0,183834619.88
year,2023,9.0,0.18720874229306372,0.08199221854675409,-0.0010921317214261927,1.2177210255043016,0.5712805216898924,-0.09498106771033932,2.2444268119185566,1.1074583160280953,0.6666666666666666,0.007711562664274716,2.0,254451782.8
year,2024,7.0,1.301841188408325,1.0435985246209292,0.8118887401054391,2.0310602725875495,1.7661282322869576,-0.15180516945955635,2.607438951679375,1.5284713949872546,0.8571428571428571,0.01055275611128449,2.0,194128528.33000004
