signal,horizon,group_type,group,ic,n_obs
sue,40,report_period,2021-06-30,-0.03149087769253723,3889
sue,40,report_period,2021-09-30,-0.19889654964704978,3963
sue,40,report_period,2021-12-31,-0.08324056518266362,4114
sue,40,report_period,2022-03-31,0.01870180847814918,4155
sue,40,report_period,2022-06-30,-0.0654517625878959,4237
sue,40,report_period,2022-09-30,-0.14894708705483697,4310
sue,40,report_period,2022-12-31,-0.02721215272351968,4428
sue,40,report_period,2023-03-31,-0.006830441346146872,4475
sue,40,report_period,2023-06-30,-0.12437635117728468,4581
sue,40,report_period,2023-09-30,-0.008462614894627282,4626
sue,40,report_period,2023-12-31,0.020479790297575313,4678
sue,40,report_period,2024-03-31,0.15573343073724163,4685
sue,40,report_period,2024-06-30,-0.09299994309620177,4693
sue,60,report_period,2019-03-31,0.127475345834782,3255
sue,60,report_period,2019-06-30,0.07528467459321868,3280
sue,60,report_period,2019-09-30,0.083615690139288,3315
sue,60,report_period,2019-12-31,-0.021871260580473107,3367
sue,60,report_period,2020-03-31,0.11963454966337966,3395
sue,60,report_period,2020-06-30,-0.06289838162197885,3469
sue,60,report_period,2020-09-30,0.1298419218736441,3569
sue,60,report_period,2020-12-31,-0.013738081360605644,3677
sue,60,report_period,2021-03-31,0.15669187232838708,3740
sue,60,report_period,2021-06-30,-0.11318600578938305,3889
sue,60,report_period,2021-09-30,-0.17469166148120732,3963
sue,60,report_period,2021-12-31,-0.08305100687993525,4115
sue,60,report_period,2022-03-31,0.018262722422530877,4155
sue,60,report_period,2022-06-30,-0.12059754858603988,4237
sue,60,report_period,2022-09-30,-0.11562708460104708,4310
sue,60,report_period,2022-12-31,-0.07054480060243537,4428
sue,60,report_period,2023-03-31,-0.03354310592312931,4475
sue,60,report_period,2023-06-30,-0.13514474364760745,4581
sue,60,report_period,2023-09-30,0.1574347026884679,4626
sue,60,report_period,2023-12-31,0.027680764155687574,4678
sue,60,report_period,2024-03-31,0.12858212041296552,4685
sue,60,report_period,2024-06-30,-0.14984155810297775,235
sue_w,1,report_period,2019-03-31,0.06489528397869951,3255
sue_w,1,report_period,2019-06-30,0.00169430788496983,3280
sue_w,1,report_period,2019-09-30,0.02273318605491621,3315
sue_w,1,report_period,2019-12-31,0.006021353026363019,3367
sue_w,1,report_period,2020-03-31,0.06923978345786867,3396
sue_w,1,report_period,2020-06-30,0.025020194638199503,3469
sue_w,1,report_period,2020-09-30,-0.020914077068910325,3569
sue_w,1,report_period,2020-12-31,0.03808781209465815,3677
sue_w,1,report_period,2021-03-31,0.07427090598560097,3740
sue_w,1,report_period,2021-06-30,0.015213674694352027,3889
sue_w,1,report_period,2021-09-30,-0.06715541866479191,3963
sue_w,1,report_period,2021-12-31,-0.01180166158860439,4115
sue_w,1,report_period,2022-03-31,0.0709616477864552,4155
sue_w,1,report_period,2022-06-30,-0.03497345901912215,4237
sue_w,1,report_period,2022-09-30,-0.05182836584133742,4310
sue_w,1,report_period,2022-12-31,-0.008418675622195759,4428
sue_w,1,report_period,2023-03-31,0.08325511797841248,4475
sue_w,1,report_period,2023-06-30,-0.03150119175606543,4581
sue_w,1,report_period,2023-09-30,-0.03628859633336168,4626
sue_w,1,report_period,2023-12-31,-0.03609911642010572,4678
sue_w,1,report_period,2024-03-31,0.04895904365968913,4685
sue_w,1,report_period,2024-06-30,-0.018790918611576193,4694
sue_w,5,report_period,2019-03-31,0.03230691144002649,3255
sue_w,5,report_period,2019-06-30,0.015292174357184513,3280
sue_w,5,report_period,2019-09-30,0.0859447981461501,3315
sue_w,5,report_period,2019-12-31,-0.012919480889760988,3367
sue_w,5,report_period,2020-03-31,0.08390336069738391,3396
sue_w,5,report_period,2020-06-30,-0.041776573777471425,3469
sue_w,5,report_period,2020-09-30,-0.06200142793567897,3569
sue_w,5,report_period,2020-12-31,-0.044895005154133485,3677
sue_w,5,report_period,2021-03-31,0.056868921992331706,3740
sue_w,5,report_period,2021-06-30,-0.01780734035658755,3889
sue_w,5,report_period,2021-09-30,-0.17084327027960253,3963
sue_w,5,report_period,2021-12-31,-0.09058066444459191,4115
sue_w,5,report_period,2022-03-31,0.026391883457572207,4155
sue_w,5,report_period,2022-06-30,-0.03944860021824836,4237
sue_w,5,report_period,2022-09-30,-0.08120540031102078,4310
sue_w,5,report_period,2022-12-31,-0.04429450662525738,4428
sue_w,5,report_period,2023-03-31,0.02656198590527212,4475
sue_w,5,report_period,2023-06-30,-0.07003414521365309,4581
sue_w,5,report_period,2023-09-30,-0.14486654111669184,4626
sue_w,5,report_period,2023-12-31,-0.07437960265297268,4678
sue_w,5,report_period,2024-03-31,0.03689278745022743,4685
sue_w,5,report_period,2024-06-30,-0.023863136059430648,4693
sue_w,10,report_period,2019-03-31,0.03773301765373193,3255
sue_w,10,report_period,2019-06-30,-0.03244131062176511,3280
sue_w,10,report_period,2019-09-30,0.0640016057022108,3315
sue_w,10,report_period,2019-12-31,-0.018333116985679868,3367
sue_w,10,report_period,2020-03-31,0.07444247940539829,3396
sue_w,10,report_period,2020-06-30,-0.07288036485616674,3469
sue_w,10,report_period,2020-09-30,-0.10027852034893901,3569
sue_w,10,report_period,2020-12-31,-0.08370505111346623,3677
sue_w,10,report_period,2021-03-31,0.05169028249031534,3740
sue_w,10,report_period,2021-06-30,0.007172804545794514,3889
sue_w,10,report_period,2021-09-30,-0.22510002639542104,3963
sue_w,10,report_period,2021-12-31,-0.0852921225229185,4115
sue_w,10,report_period,2022-03-31,0.013755367359367594,4155
sue_w,10,report_period,2022-06-30,-0.029762643210679736,4237
sue_w,10,report_period,2022-09-30,-0.12319022319214389,4310
sue_w,10,report_period,2022-12-31,-0.05729612365417008,4428
sue_w,10,report_period,2023-03-31,-0.026670875275464214,4475
sue_w,10,report_period,2023-06-30,-0.09646750014704793,4581
sue_w,10,report_period,2023-09-30,-0.15291520129761732,4626
sue_w,10,report_period,2023-12-31,-0.016364823373296006,4678
sue_w,10,report_period,2024-03-31,0.10096941506124933,4685
sue_w,10,report_period,2024-06-30,-0.008169181456931582,4693
sue_w,20,report_period,2019-03-31,0.04594368010479301,3255
sue_w,20,report_period,2019-06-30,0.013293822317898087,3280
sue_w,20,report_period,2019-09-30,0.025661998197347605,3315
sue_w,20,report_period,2019-12-31,-0.04785585289639828,3367
sue_w,20,report_period,2020-03-31,0.01871711900688941,3396
sue_w,20,report_period,2020-06-30,-0.04440714246922425,3469
sue_w,20,report_period,2020-09-30,-0.09445561531452808,3568
sue_w,20,report_period,2020-12-31,-0.10022450206562289,3677
sue_w,20,report_period,2021-03-31,0.026508373879007056,3740
sue_w,20,report_period,2021-06-30,0.013211306121066258,3889
sue_w,20,report_period,2021-09-30,-0.13165791375385552,3963
sue_w,20,report_period,2021-12-31,-0.09994823115071172,4115
sue_w,20,report_period,2022-03-31,0.0038897625274354744,4154
sue_w,20,report_period,2022-06-30,0.013294472133082514,4237
sue_w,20,report_period,2022-09-30,-0.13018393150185292,4310
sue_w,20,report_period,2022-12-31,-0.04941106288883477,4428
sue_w,20,report_period,2023-03-31,-0.04715986567306777,4475
sue_w,20,report_period,2023-06-30,-0.0698221701529714,4581
sue_w,20,report_period,2023-09-30,-0.0883954880237206,4626
sue_w,20,report_period,2023-12-31,-0.015467693239839831,4678
sue_w,20,report_period,2024-03-31,0.10807711151392899,4685
sue_w,20,report_period,2024-06-30,-0.14647605057893134,4694
sue_w,40,report_period,2019-03-31,0.07266550199527996,3255
sue_w,40,report_period,2019-06-30,0.10587355907822193,3280
sue_w,40,report_period,2019-09-30,-0.009736179436417613,3315
sue_w,40,report_period,2019-12-31,-0.04622269025973244,3365
sue_w,40,report_period,2020-03-31,0.08651802314942872,3396
sue_w,40,report_period,2020-06-30,-0.004219581263255194,3469
sue_w,40,report_period,2020-09-30,0.024371902682623885,3569
sue_w,40,report_period,2020-12-31,-0.06869286281279792,3677
sue_w,40,report_period,2021-03-31,0.06826521479781457,3740
sue_w,40,report_period,2021-06-30,-0.03150764425411313,3889
sue_w,40,report_period,2021-09-30,-0.19892548448114986,3963
sue_w,40,report_period,2021-12-31,-0.08323667606698207,4114
sue_w,40,report_period,2022-03-31,0.01867396099867635,4155
sue_w,40,report_period,2022-06-30,-0.06544195336599964,4237
sue_w,40,report_period,2022-09-30,-0.14894410368975003,4310
sue_w,40,report_period,2022-12-31,-0.027204694096094162,4428
