signal,horizon,quantile,mean_return,n_periods,n_obs,monotonic
sue_ind_neutral,20,4,0.021742223548184784,22,17582,False
sue_ind_neutral,20,5,0.019774276517154035,22,17579,False
sue_ind_neutral,40,1,0.04151090711900573,22,17586,False
sue_ind_neutral,40,2,0.03971724677510225,22,17577,False
sue_ind_neutral,40,3,0.03909243444012501,22,17577,False
sue_ind_neutral,40,4,0.03855390618564907,22,17581,False
sue_ind_neutral,40,5,0.038673679947927614,22,17579,False
sue_ind_neutral,60,1,0.05671552097074284,22,16694,False
sue_ind_neutral,60,2,0.05000233285715898,22,16686,False
sue_ind_neutral,60,3,0.056221740961397544,22,16686,False
sue_ind_neutral,60,4,0.05611748622365836,22,16690,False
sue_ind_neutral,60,5,0.05632530446593176,22,16688,False
sue_neutral,1,1,0.0003072759235753715,22,17587,True
sue_neutral,1,2,0.00043163782315050833,22,17577,True
sue_neutral,1,3,0.0010628910436664143,22,17577,True
sue_neutral,1,4,0.001072746464360375,22,17577,True
sue_neutral,1,5,0.0011749260618010274,22,17584,True
sue_neutral,5,1,0.010640282675458392,22,17587,False
sue_neutral,5,2,0.010729662862637355,22,17576,False
sue_neutral,5,3,0.010479172199277033,22,17578,False
sue_neutral,5,4,0.010938390254144297,22,17576,False
sue_neutral,5,5,0.009858098195959392,22,17584,False
sue_neutral,10,1,0.015492479752963195,22,17587,False
sue_neutral,10,2,0.015894216725628383,22,17576,False
sue_neutral,10,3,0.01475243629049911,22,17578,False
sue_neutral,10,4,0.015385937510801619,22,17576,False
sue_neutral,10,5,0.01388611683938188,22,17584,False
sue_neutral,20,1,0.025026471822815033,22,17587,False
sue_neutral,20,2,0.024011977003773388,22,17577,False
sue_neutral,20,3,0.022253759493833496,22,17575,False
sue_neutral,20,4,0.02316517317379925,22,17577,False
sue_neutral,20,5,0.021659482247247255,22,17584,False
sue_neutral,40,1,0.03940965151606194,22,17586,False
sue_neutral,40,2,0.03848873887676616,22,17576,False
sue_neutral,40,3,0.037371066337663274,22,17577,False
sue_neutral,40,4,0.04230163463340237,22,17576,False
sue_neutral,40,5,0.04001365697352464,22,17583,False
sue_neutral,60,1,0.05275047513935404,22,16694,False
sue_neutral,60,2,0.05154288259100193,22,16685,False
sue_neutral,60,3,0.054461606256537,22,16686,False
sue_neutral,60,4,0.0589863480173159,22,16685,False
sue_neutral,60,5,0.0576758108640174,22,16692,False
net_profit_yoy_calc,1,1,0.0014537700556920806,18,14384,False
net_profit_yoy_calc,1,2,0.0007012745652623947,18,14374,False
net_profit_yoy_calc,1,3,0.001298097296002613,18,14375,False
net_profit_yoy_calc,1,4,0.001329941467134731,18,14374,False
net_profit_yoy_calc,1,5,0.0007607076220283565,18,14380,False
net_profit_yoy_calc,5,1,0.01629323610256165,18,14384,False
net_profit_yoy_calc,5,2,0.015486355689055323,18,14373,False
net_profit_yoy_calc,5,3,0.013407691276489588,18,14376,False
net_profit_yoy_calc,5,4,0.011384563642337335,18,14373,False
net_profit_yoy_calc,5,5,0.010169188525396009,18,14380,False
net_profit_yoy_calc,10,1,0.02218366592964968,18,14384,False
net_profit_yoy_calc,10,2,0.020681252554888622,18,14373,False
net_profit_yoy_calc,10,3,0.018631617641884885,18,14376,False
net_profit_yoy_calc,10,4,0.015212225476431387,18,14373,False
net_profit_yoy_calc,10,5,0.01259702280981559,18,14380,False
net_profit_yoy_calc,20,1,0.0348150037280399,18,14382,False
net_profit_yoy_calc,20,2,0.033111673707577005,18,14374,False
net_profit_yoy_calc,20,3,0.02933519498157425,18,14375,False
net_profit_yoy_calc,20,4,0.025755432059476096,18,14374,False
net_profit_yoy_calc,20,5,0.02247951786225094,18,14380,False
net_profit_yoy_calc,40,1,0.0488221167488777,18,14383,False
net_profit_yoy_calc,40,2,0.044680335206521066,18,14373,False
net_profit_yoy_calc,40,3,0.04146152101325169,18,14376,False
net_profit_yoy_calc,40,4,0.039287101656866275,18,14373,False
net_profit_yoy_calc,40,5,0.04025499720314155,18,14380,False
net_profit_yoy_calc,60,1,0.06696505596900655,18,13477,False
net_profit_yoy_calc,60,2,0.05953434176073407,18,13466,False
net_profit_yoy_calc,60,3,0.05174710134929487,18,13467,False
net_profit_yoy_calc,60,4,0.05387182738346599,18,13466,False
net_profit_yoy_calc,60,5,0.06458737093800351,18,13472,False
revenue_yoy_calc,1,1,0.0010384073149479207,18,14377,False
revenue_yoy_calc,1,2,0.001112591780250446,18,14368,False
revenue_yoy_calc,1,3,0.0011961300566510325,18,14370,False
revenue_yoy_calc,1,4,0.0012859706702554677,18,14368,False
revenue_yoy_calc,1,5,0.0009319763598932779,18,14376,False
revenue_yoy_calc,5,1,0.01689113682627536,18,14377,False
revenue_yoy_calc,5,2,0.014041933671732724,18,14368,False
revenue_yoy_calc,5,3,0.01302206108545418,18,14370,False
revenue_yoy_calc,5,4,0.012046268006261903,18,14368,False
revenue_yoy_calc,5,5,0.01080317112551152,18,14375,False
revenue_yoy_calc,10,1,0.022471001686867303,18,14377,False
revenue_yoy_calc,10,2,0.02003708510122906,18,14368,False
revenue_yoy_calc,10,3,0.017504996110964666,18,14370,False
revenue_yoy_calc,10,4,0.015298406067366281,18,14368,False
revenue_yoy_calc,10,5,0.014073970120378662,18,14375,False
revenue_yoy_calc,20,1,0.034759252269634805,18,14377,False
revenue_yoy_calc,20,2,0.03161016439172034,18,14367,False
revenue_yoy_calc,20,3,0.02901553424875967,18,14370,False
revenue_yoy_calc,20,4,0.025467095487090228,18,14367,False
revenue_yoy_calc,20,5,0.024712039201567792,18,14376,False
revenue_yoy_calc,40,1,0.04519634638334497,18,14377,False
revenue_yoy_calc,40,2,0.04494270927878992,18,14368,False
revenue_yoy_calc,40,3,0.04246954559172844,18,14369,False
revenue_yoy_calc,40,4,0.040893817024480916,18,14368,False
revenue_yoy_calc,40,5,0.04111021038187596,18,14375,False
revenue_yoy_calc,60,1,0.056014027409488784,18,13470,False
revenue_yoy_calc,60,2,0.06242348308541458,18,13461,False
revenue_yoy_calc,60,3,0.05582096200218159,18,13462,False
revenue_yoy_calc,60,4,0.0639464116264698,18,13461,False
revenue_yoy_calc,60,5,0.058626769551277574,18,13468,False
eps_yoy_calc,1,1,0.0014299417981437311,18,14348,False
eps_yoy_calc,1,2,0.0009509198931398894,18,14389,False
eps_yoy_calc,1,3,0.0010167267544512024,18,14383,False
eps_yoy_calc,1,4,0.0011412371161527086,18,14264,False
eps_yoy_calc,1,5,0.0009900268473198126,18,14311,False
eps_yoy_calc,5,1,0.016386475889527206,18,14348,False
eps_yoy_calc,5,2,0.01580442929283728,18,14388,False
eps_yoy_calc,5,3,0.013340856446051074,18,14383,False
eps_yoy_calc,5,4,0.010871967603691171,18,14264,False
eps_yoy_calc,5,5,0.010231797101181333,18,14311,False
eps_yoy_calc,10,1,0.022176910346443812,18,14348,False
eps_yoy_calc,10,2,0.021290321757573748,18,14388,False
eps_yoy_calc,10,3,0.018210042964170326,18,14383,False
eps_yoy_calc,10,4,0.014445423639450644,18,14264,False
eps_yoy_calc,10,5,0.013094292743328068,18,14311,False
eps_yoy_calc,20,1,0.03474054581257685,18,14353,False
eps_yoy_calc,20,2,0.03400231396473029,18,14383,False
eps_yoy_calc,20,3,0.029009192620810895,18,14385,False
eps_yoy_calc,20,4,0.024190423833786605,18,14262,False
eps_yoy_calc,20,5,0.023610910418153077,18,14310,False
eps_yoy_calc,40,1,0.04872488550964396,18,14347,False
eps_yoy_calc,40,2,0.045810097982298986,18,14388,False
eps_yoy_calc,40,3,0.04182776708545204,18,14383,False
eps_yoy_calc,40,4,0.03623327736510639,18,14264,False
eps_yoy_calc,40,5,0.041595812518675196,18,14311,False
eps_yoy_calc,60,1,0.06586106416842677,18,13441,False
eps_yoy_calc,60,2,0.05830031236449905,18,13482,False
eps_yoy_calc,60,3,0.05589271523254248,18,13469,False
eps_yoy_calc,60,4,0.05024027761285559,18,13365,False
eps_yoy_calc,60,5,0.06627722637042514,18,13404,False
