signal,horizon,spec,n_periods,mean_coef,mean_t_stat,positive_t_rate,share_p_lt_05
sue,1,numeric,22,0.0004271724809580426,0.7924761439683459,0.5454545454545454,0.2727272727272727
sue,1,numeric+industry,22,0.0003965664369377283,0.7887276544159477,0.6818181818181818,0.22727272727272727
sue,5,numeric,22,0.0003940782558374234,-0.19058255122078122,0.4090909090909091,0.5454545454545454
sue,5,numeric+industry,22,0.0005484745125543729,0.20600232306427887,0.5909090909090909,0.5
sue,10,numeric,22,0.0002809256988965097,-0.42996753592701376,0.45454545454545453,0.5
sue,10,numeric+industry,22,0.0006848875858133989,0.1665017356529492,0.5909090909090909,0.4090909090909091
sue,20,numeric,22,-0.0005228731409531723,-0.661383914096135,0.5454545454545454,0.36363636363636365
sue,20,numeric+industry,22,0.0001411657073722289,-0.13706814224664984,0.5909090909090909,0.2727272727272727
sue,40,numeric,22,0.0007735742906838063,0.07790840205623883,0.5,0.5454545454545454
sue,40,numeric+industry,22,0.0012986836437925656,0.3487550589708647,0.5909090909090909,0.45454545454545453
sue,60,numeric,22,0.0010870589539267834,0.5994525583739708,0.5454545454545454,0.6818181818181818
sue,60,numeric+industry,22,0.0019438451432884126,0.7961047011456135,0.5454545454545454,0.7272727272727273
sue_w,1,numeric,22,0.0008310595455242511,1.0306373616524576,0.5909090909090909,0.36363636363636365
sue_w,1,numeric+industry,22,0.0007843918727479578,1.0225063501632474,0.6363636363636364,0.2727272727272727
sue_w,5,numeric,22,0.0009059714301958952,-0.1292669508196796,0.4090909090909091,0.5909090909090909
sue_w,5,numeric+industry,22,0.0012137604360115564,0.3519745368047234,0.5909090909090909,0.5454545454545454
sue_w,10,numeric,22,0.0009026698449102892,-0.3881611435649155,0.45454545454545453,0.5
sue_w,10,numeric+industry,22,0.0014669500695487067,0.2511174588935453,0.5909090909090909,0.5454545454545454
sue_w,20,numeric,22,0.00018075001380558518,-0.640363964508311,0.5,0.5
sue_w,20,numeric+industry,22,0.0010003035725021793,-0.08323798589335273,0.5909090909090909,0.45454545454545453
sue_w,40,numeric,22,0.002664919307241516,0.3089335660572947,0.5454545454545454,0.5
sue_w,40,numeric+industry,22,0.0030733309572054013,0.5840587825084355,0.5909090909090909,0.5
sue_w,60,numeric,22,0.0039049317350331693,1.0299605356339918,0.5454545454545454,0.7272727272727273
sue_w,60,numeric+industry,22,0.004159541172974132,1.1774396527251108,0.5454545454545454,0.6818181818181818
sue_z,1,numeric,22,0.000609614224089437,1.0306373616524835,0.5909090909090909,0.36363636363636365
sue_z,1,numeric+industry,22,0.0006232058842337613,1.0225063501634564,0.6363636363636364,0.2727272727272727
sue_z,5,numeric,22,5.702130881050336e-05,-0.1292669508196372,0.4090909090909091,0.5909090909090909
sue_z,5,numeric+industry,22,0.0005506480944477627,0.35197453680539514,0.5909090909090909,0.5454545454545454
sue_z,10,numeric,22,-0.00032089826193074496,-0.3881611435648782,0.45454545454545453,0.5
sue_z,10,numeric+industry,22,0.0004817785794134414,0.25111745889451154,0.5909090909090909,0.5454545454545454
sue_z,20,numeric,22,-0.0013771114051083105,-0.6403639645082873,0.5,0.5
sue_z,20,numeric+industry,22,-0.0002313419269605767,-0.08323798589327079,0.5909090909090909,0.45454545454545453
sue_z,40,numeric,22,0.0005885838967979465,0.3089335660573086,0.5454545454545454,0.5
sue_z,40,numeric+industry,22,0.001471279335569156,0.5840587825078074,0.5909090909090909,0.5
sue_z,60,numeric,22,0.0021533713837959033,1.0299605356340071,0.5454545454545454,0.7272727272727273
sue_z,60,numeric+industry,22,0.0028491047276160532,1.1774396527234516,0.5454545454545454,0.6818181818181818
sue_ind_neutral,1,numeric,22,0.0007608049800684528,0.9489009444442257,0.6363636363636364,0.22727272727272727
sue_ind_neutral,1,numeric+industry,22,0.0007843918727479572,1.022506350162975,0.6363636363636364,0.2727272727272727
sue_ind_neutral,5,numeric,22,0.0011590070154407286,0.26193036463331104,0.5454545454545454,0.5454545454545454
sue_ind_neutral,5,numeric+industry,22,0.0012137604360115198,0.35197453680432705,0.5909090909090909,0.5454545454545454
sue_ind_neutral,10,numeric,22,0.0014447847867298386,0.1697172076861802,0.5,0.45454545454545453
sue_ind_neutral,10,numeric+industry,22,0.0014669500695486553,0.2511174588934773,0.5909090909090909,0.5454545454545454
sue_ind_neutral,20,numeric,22,0.0009745896638815056,-0.13403741366469146,0.5909090909090909,0.36363636363636365
sue_ind_neutral,20,numeric+industry,22,0.0010003035725021344,-0.08323798589300466,0.5909090909090909,0.45454545454545453
sue_ind_neutral,40,numeric,22,0.003283603701438645,0.5908261719421448,0.5909090909090909,0.5
sue_ind_neutral,40,numeric+industry,22,0.0030733309572053033,0.5840587825080109,0.5909090909090909,0.5
sue_ind_neutral,60,numeric,22,0.004512235481087922,1.1232195067793855,0.5454545454545454,0.6818181818181818
sue_ind_neutral,60,numeric+industry,22,0.004159541172974038,1.1774396527246485,0.5454545454545454,0.6818181818181818
sue_neutral,1,numeric,22,0.0007691682964755545,0.9676625160671012,0.6363636363636364,0.2727272727272727
sue_neutral,1,numeric+industry,22,0.0007843918727479662,1.0225063501635736,0.6363636363636364,0.2727272727272727
sue_neutral,5,numeric,22,0.0011791311515855106,0.27738653292094795,0.5454545454545454,0.5454545454545454
sue_neutral,5,numeric+industry,22,0.0012137604360115224,0.351974536805339,0.5909090909090909,0.5454545454545454
sue_neutral,10,numeric,22,0.001493478738405702,0.2079199084005622,0.5909090909090909,0.5
sue_neutral,10,numeric+industry,22,0.001466950069548643,0.2511174588944814,0.5909090909090909,0.5454545454545454
sue_neutral,20,numeric,22,0.0011249006272447577,-0.06033826867774081,0.5909090909090909,0.36363636363636365
sue_neutral,20,numeric+industry,22,0.0010003035725021313,-0.08323798589212923,0.5909090909090909,0.45454545454545453
sue_neutral,40,numeric,22,0.0033396306731432023,0.6073361931647021,0.5909090909090909,0.5
sue_neutral,40,numeric+industry,22,0.003073330957205386,0.584058782508645,0.5909090909090909,0.5
sue_neutral,60,numeric,22,0.004439384215503303,1.1005905846628756,0.5454545454545454,0.6818181818181818
sue_neutral,60,numeric+industry,22,0.00415954117297415,1.1774396527249136,0.5454545454545454,0.6818181818181818
net_profit_yoy_calc,1,numeric,18,-7.19423110365074e-06,-0.18589006414778123,0.5,0.05555555555555555
net_profit_yoy_calc,1,numeric+industry,18,-1.1587642919797931e-05,-0.2745076687158882,0.6111111111111112,0.05555555555555555
net_profit_yoy_calc,5,numeric,18,-2.508427637530293e-05,-0.41271007321004094,0.3333333333333333,0.16666666666666666
net_profit_yoy_calc,5,numeric+industry,18,-2.5652162675139182e-05,-0.4021885178333809,0.3888888888888889,0.2222222222222222
net_profit_yoy_calc,10,numeric,18,-4.9550010597799946e-05,-0.3966657150942776,0.2777777777777778,0.05555555555555555
net_profit_yoy_calc,10,numeric+industry,18,-4.7725916492403136e-05,-0.334419670428608,0.3888888888888889,0.1111111111111111
net_profit_yoy_calc,20,numeric,18,-8.869771542099725e-05,-0.3499356678258474,0.4444444444444444,0.1111111111111111
net_profit_yoy_calc,20,numeric+industry,18,-8.214213714469572e-05,-0.2903063154545295,0.5555555555555556,0.2222222222222222
net_profit_yoy_calc,40,numeric,18,-5.646963129553626e-05,-0.07802275318540562,0.5,0.16666666666666666
net_profit_yoy_calc,40,numeric+industry,18,-7.95464148783955e-05,-0.1352120160827081,0.3888888888888889,0.1111111111111111
net_profit_yoy_calc,60,numeric,18,0.00010040278873423648,0.014467272393032712,0.6111111111111112,0.1111111111111111
net_profit_yoy_calc,60,numeric+industry,18,5.3425545129928486e-05,-0.07804252902858368,0.3888888888888889,0.05555555555555555
revenue_yoy_calc,1,numeric,18,9.892410668802932e-06,-0.05398522762182631,0.5,0.0
revenue_yoy_calc,1,numeric+industry,18,2.4735064002158505e-05,-0.05620604185702935,0.2777777777777778,0.0
revenue_yoy_calc,5,numeric,18,-0.00013195205662413346,-0.344718048850026,0.2777777777777778,0.1111111111111111
revenue_yoy_calc,5,numeric+industry,18,-4.4042042207281096e-05,-0.29390940224287276,0.3333333333333333,0.05555555555555555
revenue_yoy_calc,10,numeric,18,-9.548967701601082e-05,-0.13597270622941685,0.4444444444444444,0.1111111111111111
revenue_yoy_calc,10,numeric+industry,18,4.2558240117403955e-05,-0.01827326505308262,0.4444444444444444,0.05555555555555555
revenue_yoy_calc,20,numeric,18,2.091313507692041e-06,0.056768655174052864,0.5555555555555556,0.05555555555555555
revenue_yoy_calc,20,numeric+industry,18,0.00018064913362937957,0.13980205137986848,0.5,0.05555555555555555
revenue_yoy_calc,40,numeric,18,-0.0003745070258468112,-0.3427165709822201,0.4444444444444444,0.1111111111111111
revenue_yoy_calc,40,numeric+industry,18,-7.312787374719587e-05,-0.15967961782636986,0.5555555555555556,0.1111111111111111
revenue_yoy_calc,60,numeric,18,-0.0024077666016269397,-0.2875080891338774,0.2777777777777778,0.05555555555555555
revenue_yoy_calc,60,numeric+industry,18,-0.00041853956615264245,-0.16118422384254882,0.3888888888888889,0.05555555555555555
eps_yoy_calc,1,numeric,18,9.969535628587462e-06,0.11855775649944197,0.4444444444444444,0.16666666666666666
eps_yoy_calc,1,numeric+industry,18,5.722710472743809e-06,0.023452030504536037,0.6111111111111112,0.1111111111111111
eps_yoy_calc,5,numeric,18,-2.0320511539525032e-05,-0.31863444802040675,0.3888888888888889,0.16666666666666666
eps_yoy_calc,5,numeric+industry,18,-1.6227461677097243e-05,-0.28022462387813446,0.4444444444444444,0.2222222222222222
eps_yoy_calc,10,numeric,18,-3.63923897391141e-05,-0.4118336221024761,0.2777777777777778,0.16666666666666666
eps_yoy_calc,10,numeric+industry,18,-2.9358877170452877e-05,-0.3391741914027303,0.5,0.2222222222222222
eps_yoy_calc,20,numeric,18,-7.599580326822145e-05,-0.3847019238557554,0.4444444444444444,0.16666666666666666
eps_yoy_calc,20,numeric+industry,18,-4.8983115729631785e-05,-0.28436147655169464,0.5,0.16666666666666666
eps_yoy_calc,40,numeric,18,-3.294827168017499e-05,-0.10028903104392044,0.5555555555555556,0.2222222222222222
eps_yoy_calc,40,numeric+industry,18,-3.410636977376868e-05,-0.12778746429381777,0.3888888888888889,0.2777777777777778
eps_yoy_calc,60,numeric,18,8.974533536730987e-05,-0.05312383161198226,0.6666666666666666,0.05555555555555555
eps_yoy_calc,60,numeric+industry,18,7.644800555678062e-05,-0.14929972578980907,0.3888888888888889,0.05555555555555555
