code,report_date,announcements_total,correction_count,report_correction_count,report_corrected,correction_titles,scan_error
002145,2019-03-31,36,0,0,False,,
002240,2019-03-31,100,3,0,False,发行股份购买资产并募集配套资金暨关联交易报告书（草案）（修订稿） | 关于发行股份购买资产并募集配套资金暨关联交易报告书（草案）修订说明的公告 | 发行股份购买资产并募集配套资金暨关联交易报告书（草案）与预案（修订稿）差异对比表,
002282,2019-03-31,17,0,0,False,,
002299,2019-03-31,25,0,0,False,,
002405,2019-03-31,45,0,0,False,,
002408,2019-03-31,60,2,0,False,关于首次回购公司股份的更正公告 | 关于控股股东及关联方增持股份计划延期的补充公告,
002469,2019-03-31,11,0,0,False,,
002485,2019-03-31,22,1,0,False,关于2019年度申请融资总额度暨担保的补充公告,
002552,2019-03-31,11,0,0,False,,
002756,2019-03-31,26,0,0,False,,
300016,2019-03-31,26,0,0,False,,
300172,2019-03-31,26,0,0,False,,
300213,2019-03-31,61,0,0,False,,
300259,2019-03-31,28,0,0,False,,
