code,error
605183,"DataSourceError: stock_financial_abstract_ths({'symbol': '605183', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605188,"DataSourceError: stock_financial_abstract_ths({'symbol': '605188', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605189,"DataSourceError: stock_financial_abstract_ths({'symbol': '605189', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605196,"DataSourceError: stock_financial_abstract_ths({'symbol': '605196', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605198,"DataSourceError: stock_financial_abstract_ths({'symbol': '605198', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605218,"DataSourceError: stock_financial_abstract_ths({'symbol': '605218', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605208,"DataSourceError: stock_financial_abstract_ths({'symbol': '605208', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605228,"DataSourceError: stock_financial_abstract_ths({'symbol': '605228', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605222,"DataSourceError: stock_financial_abstract_ths({'symbol': '605222', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605255,"DataSourceError: stock_financial_abstract_ths({'symbol': '605255', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605258,"DataSourceError: stock_financial_abstract_ths({'symbol': '605258', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605259,"DataSourceError: stock_financial_abstract_ths({'symbol': '605259', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605266,"DataSourceError: stock_financial_abstract_ths({'symbol': '605266', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605277,"DataSourceError: stock_financial_abstract_ths({'symbol': '605277', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605268,"DataSourceError: stock_financial_abstract_ths({'symbol': '605268', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605286,"DataSourceError: stock_financial_abstract_ths({'symbol': '605286', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605287,"DataSourceError: stock_financial_abstract_ths({'symbol': '605287', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605289,"DataSourceError: stock_financial_abstract_ths({'symbol': '605289', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605288,"DataSourceError: stock_financial_abstract_ths({'symbol': '605288', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605298,"DataSourceError: stock_financial_abstract_ths({'symbol': '605298', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605296,"DataSourceError: stock_financial_abstract_ths({'symbol': '605296', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605299,"DataSourceError: stock_financial_abstract_ths({'symbol': '605299', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605300,"DataSourceError: stock_financial_abstract_ths({'symbol': '605300', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605303,"DataSourceError: stock_financial_abstract_ths({'symbol': '605303', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605305,"DataSourceError: stock_financial_abstract_ths({'symbol': '605305', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605318,"DataSourceError: stock_financial_abstract_ths({'symbol': '605318', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605319,"DataSourceError: stock_financial_abstract_ths({'symbol': '605319', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605333,"DataSourceError: stock_financial_abstract_ths({'symbol': '605333', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605337,"DataSourceError: stock_financial_abstract_ths({'symbol': '605337', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605338,"DataSourceError: stock_financial_abstract_ths({'symbol': '605338', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605339,"DataSourceError: stock_financial_abstract_ths({'symbol': '605339', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605365,"DataSourceError: stock_financial_abstract_ths({'symbol': '605365', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605358,"DataSourceError: stock_financial_abstract_ths({'symbol': '605358', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605366,"DataSourceError: stock_financial_abstract_ths({'symbol': '605366', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605368,"DataSourceError: stock_financial_abstract_ths({'symbol': '605368', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605378,"DataSourceError: stock_financial_abstract_ths({'symbol': '605378', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605376,"DataSourceError: stock_financial_abstract_ths({'symbol': '605376', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605369,"DataSourceError: stock_financial_abstract_ths({'symbol': '605369', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605377,"DataSourceError: stock_financial_abstract_ths({'symbol': '605377', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605398,"DataSourceError: stock_financial_abstract_ths({'symbol': '605398', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605399,"DataSourceError: stock_financial_abstract_ths({'symbol': '605399', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605388,"DataSourceError: stock_financial_abstract_ths({'symbol': '605388', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605389,"DataSourceError: stock_financial_abstract_ths({'symbol': '605389', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605507,"DataSourceError: stock_financial_abstract_ths({'symbol': '605507', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605499,"DataSourceError: stock_financial_abstract_ths({'symbol': '605499', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605500,"DataSourceError: stock_financial_abstract_ths({'symbol': '605500', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605488,"DataSourceError: stock_financial_abstract_ths({'symbol': '605488', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605567,"DataSourceError: stock_financial_abstract_ths({'symbol': '605567', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
