model,features,rank_ic,icir,t_stat,n_periods,positive_rate,n_cohorts,gross_annual_return,net_annual_return,benchmark_annual_return,gross_sharpe,net_sharpe,net_max_drawdown,information_ratio,net_information_ratio,hit_rate_active,mean_cost,mean_turnover,capacity_median
linear_ridge,完整特征,0.12713468438739658,1.3716433062746671,5.655430232441887,17.0,0.8823529411764706,39.0,0.2785207664560587,0.14191785340423513,0.19178501076763066,1.0016503473793386,0.5970344077485265,-0.2498408961224532,1.0255950684697248,-0.3663372274663239,0.6923076923076923,0.009425917767134485,2.0,194128528.33000004
gbm_lightgbm,完整特征,0.10865362336948844,1.2333945089365994,5.085415838402425,17.0,0.8823529411764706,39.0,0.3726988526482906,0.2441766975352726,0.19178501076763066,1.2505497872696263,0.899793957535519,-0.2112594717058457,2.1202025691652104,0.7638618659696431,0.6923076923076923,0.008321534776052889,2.0,229059493.02
linear_ridge_no_sue,去掉 SUE 家族,0.12718713699759268,1.3718082969555634,5.656110506446466,17.0,0.8823529411764706,39.0,0.28706899325961843,0.14916562085147134,0.19178501076763066,1.0489266342272012,0.6287657505806135,-0.22144960375260558,1.1178418087760442,-0.33557604750751713,0.717948717948718,0.009463576073568068,2.0,194128528.33000004
gbm_lightgbm_no_sue,去掉 SUE 家族,0.10328867305681308,1.1395269086182733,4.698389807466705,17.0,0.8235294117647058,39.0,0.34976055806178086,0.2243959832939617,0.19178501076763066,1.1682142519326555,0.8298185247064629,-0.231150540505494,1.7913196395330173,0.5236259205366077,0.6410256410256411,0.008233574854361788,2.0,216467148.74400002
baseline_sue,仅 SUE,-0.05016173782893638,-0.7364592162161663,-3.0364991374188484,17.0,0.29411764705882354,39.0,0.054357496814607886,-0.02889089827480884,0.19403465928248842,0.3504162334260849,-0.03222054775044172,-0.33930251304099524,-1.702381422337543,-2.6181911117114134,0.2564102564102564,0.006812545118142794,2.0,488695465.95500004
