cohort,n_candidates,n_selected,gross_return,benchmark_return,active_return,cost_total,net_return,net_active_return,commission,stamp_tax,slippage,impact,capacity,adv_missing,buy_turnover,sell_turnover
2019-04,2512,503,-0.04905687010983384,-0.05454505228333356,0.005488182173499723,0.00337591965476241,-0.05243278976459625,0.0021122625187373137,0.0006,0.0005,0.0012032956794298573,0.0010726239753325528,1688665717.8121054,11.0,1.0,1.0
2019-05,743,149,0.01836974033921948,0.0032659580366798556,0.015103782302539625,0.004498267842502103,0.013871472496717378,0.010605514460037522,0.0006,0.0005,0.0015974052725452814,0.0018008625699568214,537998871.32,0.0,1.0,1.0
2019-07,79,16,-0.0020745447837467457,0.0016752417915868864,-0.003749786575333632,0.015617973237279486,-0.017692518021026234,-0.01936775981261312,0.0006,0.0005,0.008906270747431612,0.005611702489847874,24520230.08,0.0,1.0,1.0
2019-08,2536,508,0.04755087422444058,0.0435905654684198,0.003960308756020776,0.003919222857815213,0.04363165136662536,4.1085898205561744e-05,0.0006,0.0005,0.0015448610528271862,0.0012743618049880275,548750089.442,0.0,1.0,1.0
2019-09,665,133,-0.012173203224150497,-0.009797323116877865,-0.002375880107272632,0.006358775660074837,-0.018531978884225336,-0.008734655767347471,0.0006,0.0005,0.0030194511780247332,0.002239324482050104,138674207.329,0.0,1.0,1.0
2019-10,2799,560,-0.027374510901407075,-0.03440735955381331,0.007032848652406238,0.0036331989151903664,-0.03100770981659744,0.003399649737215873,0.0006,0.0005,0.0013804841744381306,0.001152714740752236,850613095.0800002,0.0,1.0,1.0
2019-11,516,104,-0.031219537660394262,-0.028531091788312625,-0.002688445872081637,0.005868593014420486,-0.03708813067481475,-0.008557038886502125,0.0006,0.0005,0.002815204193649198,0.0019533888207712872,151490168.128,0.0,1.0,1.0
2020-02,12,3,-0.0975536818427745,-0.07933647636445938,-0.018217205478315124,0.00717954146670027,-0.10473322330947478,-0.025396746945015397,0.0006,0.0005,0.0022969142418997495,0.003782627224800521,536136271.0590001,0.0,1.0,1.0
2020-03,460,92,0.02204923645769062,0.01533802199402225,0.006711214463668371,0.0057778719821855624,0.01627136447550506,0.0009333424814828087,0.0006,0.0005,0.00196470096952911,0.002713171012656453,335314471.265,0.0,1.0,1.0
2020-04,4942,989,0.03547147277325069,0.04175348952048204,-0.006282016747231348,0.0031894624246579678,0.032282010348592724,-0.009471479171889313,0.0006,0.0005,0.0011758677558683934,0.0009135946687895747,1639205714.203,1.0,1.0,1.0
2020-05,1301,261,0.029288952321536783,0.03739079322571752,-0.008101840904180736,0.004717591017315784,0.024571361304221,-0.01281943192149652,0.0006,0.0005,0.001810077759531982,0.0018075132577838032,363237831.63000005,0.0,1.0,1.0
2020-06,33,7,-0.010387692659149992,0.016942381330958305,-0.027330073990108297,0.018605287355553356,-0.028992980014703348,-0.04593536134566165,0.0006,0.0005,0.01001355584488831,0.007491731510665044,12980283.211000003,0.0,1.0,1.0
